94,Robert,Moore,17.2,robert moore,7095.80649420378,8316.28521120682
95,John,Wilson,2.5,john wilson,8108.29970900011,8311.00720172512
96,Richard,Brown,3.9,richard brown,7983.0829302633,8294.42316454356
97,Charles,Jones,30.5,charles jones,6326.60856503613,8256.22417737215
98,Mark,Johnson,14.7,mark johnson,7139.75959304575,8189.30425322347
99,Robert,Lee,12.1,robert lee,7278.01788014427,8158.65804364172
100,Patricia,Johnson,7.1,patricia johnson,7591.51028018081,8130.50751007365
101,Michael,Lee,-9.8,michael lee,8876.01338675723,8006.16407485502
102,David,Garcia,-30.5,david garcia,11487.6862122386,7983.94191750583
103,Robert,Martin,16.8,robert martin,6829.00410424863,7976.2767937624
104,Jennifer,Jones,24,jennifer jones,6405.48776149217,7942.80482425029
105,Daniel,Martinez,33.2,daniel martinez,5959.44012460361,7937.97424597201
106,John,Thomas,5.1,john thomas,7526.90833904815,7910.78066433961
107,John,Martin,13.4,john martin,6959.63014528727,7892.22058475577
108,Richard,Miller,24.1,richard miller,6305.39973872715,7825.00107576039
109,Michael,White,-1.7,michael white,7935.11610704068,7800.21913322099
110,Robert,Thomas,4.8,robert thomas,7385.63499304191,7740.14547270793
111,Barbara,Johnson,20.3,barbara johnson,6433.51177960496,7739.51467086477
112,Susan,Smith,3.9,susan smith,7437.80420257453,7727.87856647493
113,Robert,Thompson,18,robert thompson,6523.85898467999,7698.15360192238
114,Daniel,Rodriguez,24,daniel rodriguez,6201.53609780949,7689.90476128376
115,Robert,White,18.1,robert white,6506.51530046441,7684.19456984847
116,William,Wilson,21.5,william wilson,6272.52462185389,7621.11741555248
117,David,Lee,10.1,david lee,6856.15343675902,7548.62493387168
118,Richard,Jones,-4.6,richard jones,7903.06565259133,7539.52463257213
119,John,Taylor,0.4,john taylor,7473.41063861751,7503.30428117198
120,John,Moore,3.6,john moore,7231.53596458694,7491.87125931207
121,Thomas,Brown,1.8,thomas brown,7349.79794951173,7482.09431260294
122,Richard,Williams,-17,richard williams,9007.21542932964,7475.9888063436
123,William,Taylor,29.2,william taylor,5781.37882445565,7469.5414411967
124,David,Martin,15.8,david martin,6433.16638266594,7449.60667112716
125,David,Martinez,-28.5,david martinez,10372.6495837965,7416.44445241449
126,William,Moore,31.9,william moore,5594.26624811913,7378.83718126914
127,David,Rodriguez,-31.7,david rodriguez,10794.0275393104,7372.32080934897
128,Thomas,Williams,-11.5,thomas williams,8292.68768364329,7339.02860002431
129,Linda,Williams,15.3,linda williams,6319.13579112736,7285.96356716985
130,David,Moore,8.8,david moore,6684.50378701844,7272.74012027606
131,Daniel,Miller,19.9,daniel miller,6059.91711313559,7265.84061864957
132,William,Martin,33.3,william martin,5383.92178533498,7176.76773985153
133,Joseph,Johnson,-33.9,joseph johnson,10853.9476753801,7174.45941342625
134,David,White,16.2,david white,6129.37038260202,7122.32838458355
135,Michael,Jackson,-16.8,michael jackson,8539.86395060711,7105.16680690511
136,Charles,Davis,43.6,charles davis,4937.15134510197,7089.74933156643
137,William,White,38.2,william white,5129.67468433525,7089.21041375131
138,Patricia,Williams,10.6,patricia williams,6375.72169583681,7051.54819559552
139,Thomas,Jones,-3.5,thomas jones,7276.12831229307,7021.46382136281
140,David,Thomas,0.9,david thomas,6957.53261040193,7020.15040389554
141,William,Thomas,19.8,william thomas,5822.76427580882,6975.67160241897
142,Jennifer,Brown,6.5,jennifer brown,6470.34230216876,6890.91455180973
143,John,Thompson,3.6,john thompson,6648.64817186658,6887.99950605378
144,Charles,Miller,36.3,charles miller,5047.63565768022,6879.92740141814
145,Robert,Jackson,-1.8,robert jackson,7002.38720000681,6876.34423040669
146,David,Thompson,11,david thompson,6145.7087541338,6821.73671708852
147,Elizabeth,Johnson,-3.7,elizabeth johnson,7080.79074862065,6818.80149092169
148,Mary,Wilson,18.9,mary wilson,5731.50727196336,6814.76214636444
149,David,Taylor,-1.5,david taylor,6908.08176304715,6804.46053660144
150,John,Lee,-8.3,john lee,7417.2327126116,6801.60239746484
151,Jennifer,Williams,-7.4,jennifer williams,7300.40856724716,6760.17833327087
152,John,White,1.7,john white,6630.97273549922,6743.69927200271
153,Michael,Garcia,-54.7,michael garcia,14872.0208121387,6737.02542789882
154,Linda,Jones,21.1,linda jones,5544.50433841083,6714.39475381551
155,Joseph,Williams,-26.4,joseph williams,9115.67621268508,6709.13769253622
156,Linda,Brown,19.3,linda brown,5600.64155942134,6681.56538038965
157,William,Thompson,29.3,william thompson,5143.34827976158,6650.34932573172
158,Thomas,Miller,12.9,thomas miller,5805.20263604729,6554.07377609739
159,Mary,Anderson,18.2,mary anderson,5521.16354323349,6526.01530810198
160,Patricia,Brown,15.2,patricia brown,5650.79357071981,6509.71419346922
161,Richard,Davis,5.2,richard davis,6167.38507148302,6488.08909520013
162,Daniel,Brown,-15.5,daniel brown,7672.28452901367,6483.08042701655
163,William,Anderson,7,william anderson,6042.32580068783,6465.28860673598
164,Jennifer,Miller,24.9,jennifer miller,5110.56881382348,6383.10044846552
165,Mary,Thomas,18.9,mary thomas,5320.53962346393,6326.12161229861
166,Mary,Moore,22.8,mary moore,5111.74999149184,6277.22898955198
167,Patricia,Jones,11.2,patricia jones,5594.15365827431,6220.69886800103
168,Mary,Martin,26.2,mary martin,4919.54814442946,6208.46975826998
169,Barbara,Williams,14.8,barbara williams,5403.17790792376,6202.84823829648
170,Daniel,Williams,-28.7,daniel williams,8656.54537120784,6172.11684967119
171,Joseph,Brown,-23.9,joseph brown,8079.21157679132,6148.28000993819
172,Mary,Taylor,16,mary taylor,5282.72374713277,6127.95954667401
173,Michael,Martinez,-54.4,michael martinez,13428.4883515444,6123.39068830423
174,Barbara,Brown,26.7,barbara brown,4788.82931848918,6067.44674652579
175,William,Jackson,9.6,william jackson,5520.61536645035,6050.59444162959
176,Mark,Miller,42.1,mark miller,4197.65585551253,5964.8689706833
177,Linda,Miller,34,linda miller,4423.63985617709,5927.6774072773
178,Joseph,Miller,-8.9,joseph miller,6381.3264888307,5813.38843132476
179,Mary,White,22.5,mary white,4687.23034639666,5741.85717433591
180,David,Davis,-44.7,david davis,10316.6659994279,5705.11629768361
181,Daniel,Jones,-25.1,daniel jones,7595.38249418585,5688.9414881452
182,David,Jackson,-15.4,david jackson,6596.49946695273,5580.63854904201
183,Mary,Thompson,18.5,mary thompson,4699.72456783771,5569.17361288769
184,Mark,Williams,-7.3,mark williams,5996.31936997872,5558.58805597028
185,Susan,Johnson,-6.5,susan johnson,5900.64387721626,5517.1020251972
186,Barbara,Jones,16.2,barbara jones,4740.8291801155,5508.84350729421
187,Mary,Jackson,8.7,mary jackson,5044.45164045781,5483.31893317764
188,Jennifer,Davis,8.7,jennifer davis,4998.70699958575,5433.59450854971
189,Patricia,Miller,20.9,patricia miller,4463.2521816033,5396.07188755839
190,Linda,Davis,24.4,linda davis,4326.81376932198,5382.55632903655
191,Thomas,Davis,-5.9,thomas davis,5678.13644781216,5343.12639739124
192,Richard,Anderson,22.9,richard anderson,4316.10374374053,5304.49150105711
193,Elizabeth,Garcia,16.3,elizabeth garcia,4534.05345760846,5273.10417119864
194,Charles,Wilson,45.7,charles wilson,3586.78616877496,5225.94744790512
195,Elizabeth,Rodriguez,22.5,elizabeth rodriguez,4260.27460899752,5218.83639602196
196,Robert,Garcia,-57.4,robert garcia,12194.5324627509,5194.8708291319
197,John,Jackson,-27.7,john jackson,7136.32973449548,5159.56639804023
198,William,Williams,-59.1,william williams,12609.6436537054,5157.34425436552
199,Michael,Rodriguez,-63.2,michael rodriguez,13974.0065358331,5142.43440518657
200,Barbara,Miller,35.5,barbara miller,3782.43385386136,5125.19787198214
